"","country","life_ladder_2018","log_gdp_2018","social_support_2018","life_expectancy_2018","freedom_to_make_life_choices_2018","generosity_2018","perceived_corruption_2018","positive_affect_2018","negative_affect_2018","life_ladder_2020","log_gdp_2020","social_support_2020","life_expectancy_2020","freedom_to_make_life_choices_2020","generosity_2020","perceived_corruption_2020","positive_affect_2020","negative_affect_2020","life_ladder_2022","log_gdp_2022","social_support_2022","life_expectancy_2022","freedom_to_make_life_choices_2022","generosity_2022","perceived_corruption_2022","positive_affect_2022","negative_affect_2022"
"11","Cambodia",5.122,8.347,0.795,61.3,0.958,0.032,NA,7.23,4.14,4.377,8.361,0.724,61.7,0.963,0.05,0.863,7.71,3.9,4.25,8.415,0.784,62.1,0.946,0.154,0.86,7.56,3.88
"12","Cameroon",5.251,8.225,0.677,53.825,0.816,0.031,0.884,6.3,3.56,5.241,8.207,0.72,55.175,0.675,0.045,0.837,6.26,3.86,4.712,8.227,0.629,56.525,0.675,0.025,0.849,5.86,3.62
"13","Canada",7.175,10.799,0.923,71.25,0.946,0.102,0.372,7.73,2.59,7.025,10.738,0.931,71.35,0.887,0.045,0.434,7.38,3.07,6.918,10.803,0.929,71.45,0.838,0.222,0.442,7.19,2.87
"14","Chile",6.436,10.13,0.89,69.85,0.789,-0.066,0.816,7.55,2.76,6.151,10.044,0.888,70.15,0.781,0.028,0.812,7.53,3.36,6.415,10.154,0.887,70.45,0.793,-0.011,0.796,7.75,2.53
"15","Colombia",5.984,9.577,0.871,68.825,0.851,-0.152,0.855,7.75,3.01,5.709,9.502,0.797,69.175,0.84,-0.088,0.808,7.59,3.4,5.892,9.66,0.877,69.525,0.799,-0.162,0.863,7.62,3.06
"16","Congo (Brazzaville)",5.49,8.239,0.621,55.875,0.699,-0.102,0.738,5.71,4.48,5.079,8.127,0.597,56.525,0.761,-0.021,0.728,5.72,4.35,5.805,8.077,0.646,57.175,0.698,0.028,0.76,5.83,4.77
"17","Costa Rica",7.141,9.928,0.876,70,0.942,-0.114,0.781,8.02,3.26,6.338,9.895,0.834,70,0.889,-0.136,0.772,7.59,3.5,7.077,9.998,0.902,70,0.91,-0.047,0.751,7.93,2.72
"18","Croatia",5.536,10.248,0.91,68.425,0.691,-0.156,0.925,5.12,2.9,6.508,10.202,0.923,68.775,0.837,-0.069,0.961,6.81,2.86,5.579,10.458,0.91,69.125,0.593,-0.213,0.875,5.73,2.67
"19","Cyprus",6.276,10.599,0.826,72.2,0.794,-0.029,0.848,6.63,2.98,6.26,10.583,0.806,72.6,0.763,-0.084,0.816,6.71,2.84,5.865,NA,0.82,73,0.698,NA,0.887,6.59,2.97
"20","Czechia",7.034,10.595,0.929,68.675,0.79,-0.297,0.851,6.74,1.78,6.897,10.562,0.964,68.925,0.906,-0.133,0.884,7.48,2.9,6.695,10.656,0.944,69.175,0.908,0.094,0.831,7.43,2.46
"21","Denmark",7.649,10.936,0.958,70.875,0.935,0.013,0.151,7.73,2.06,7.515,10.924,0.947,71.125,0.938,0.047,0.214,7.53,2.27,7.545,10.994,0.97,71.375,0.93,0.224,0.203,7.87,2.05
